vocab,pattern_name,english,japanese
上,上に〜,上にある,"to be on top, to be upstairs"
上,上に〜,上にいる,to be upstairs
上,上に〜,上におく,to put on top
上,〜の上,テーブルの上,on the table
上,〜の上,ベッドの上,on the bed
上,〜の上,人の上,superior to other people
上,上の〜,上の二つ,the top two
上,上の〜,上のレベル,the level above
上,上の〜,上の人,"superior, person who lives upstairs"
大人,大人に〜,大人になりたい,"want to become an adult, want to become mature"
大人,大人に〜,大人になる,"become an adult, become mature"
大人,大人の〜,大人のマナー,adult manners
大人,大人の〜,大人の人,an adult
大人,大人の〜,大人の女,an adult woman
大人,大人な〜,大人なイメージ,a mature impression
大人,大人な〜,大人な女,a mature woman
大人,大人な〜,大人な人,a mature person
大人,大人〜,大人だけ,adults only
大人,大人〜,大人たち,adults
大人,大人〜,大人っぽい,"adult-like, mature"
一人,一人で〜,一人でいる,to be by oneself
一人,一人で〜,一人でできる,to be able to do something alone
一人,一人で〜,一人でする,to do something alone
一人,一人の〜,一人の人,one person
一人,一人の〜,一人の力,the strength of one person
一人,一人の〜,一人の女,one woman
人工,人工の〜,人工の山,artificial mountain
人工,人工の〜,人工のダム,man-made dam
人工,人工の〜,人工の川,man-made river
下,〜の下,ベッドの下,under the bed
下,〜の下,ページの下,bottom of the page
下,〜の下,テーブルの下,under the table
下,下に〜,下にある,"to be under, to be downstairs"
下,下に〜,下にいる,"to be under, to be downstairs"
下,下に〜,下におく,"to put something under something, to put something on the ground"
下,下の〜,下のほう,the lower part
下,下の〜,下のイメージ,the image below
下,下の〜,下のグラフ,the graph below
大きい,大きい〜,大きいヌイグルミ,a big stuffed animal
大きい,大きい〜,大きいサイズ,a large size
大きい,大きい〜,大きいレモン,a big lemon
大きい,〜が大きい,サイズが大きい,the size is large
大きい,〜が大きい,メリットが大きい,the benefits are great
大きい,〜が大きい,リスクが大きい,the risk is high
八,八 + unit,八人,eight people
八,八 + unit,八ミリ,eight millimeters
八,八 + unit,八メートル,eight meters
八つ,八つの〜,八つの山,eight mountains
八つ,八つの〜,八つのキーワード,eight keywords
八つ,八つの〜,八つのタイプ,eight types
入り口,〜の入り口,トンネルの入り口,entrance to the tunnel
入り口,〜の入り口,ビルの入り口,entrance to the building
入り口,〜の入り口,ホテルの入り口,entrance to the hotel
入り口,入り口に〜,入り口にある,to be at the entrance
入り口,入り口に〜,入り口におく,to put something at the entrance
入り口,入り口に〜,入り口にいる,to be at the entrance
入り口,入り口の〜,入り口の一つ,one of the entrances
入り口,入り口の〜,入り口のドア,entrance door
入り口,入り口の〜,入り口の人,the person at the entrance
大した,大した〜,大したことはない,not a big deal
大した,大した〜,大した女だ,"she's a great woman, you're a great woman"
大した,大した〜,大したものだ,quite a feat
山,山〜,山ガール,a young woman who likes mountain climbing
山,山〜,山ぶどう,wild grapes
山,山〜,山のぼり,mountain climbing
山,山の〜,山のむこう,over the mountain
山,山の〜,山のふもと,the foot of a mountain
山,山の〜,山のなまえ,the name of the mountain
山,山に〜,山にのぼる,to climb a mountain
山,山に〜,山に入る,to go into the mountains
山,山に〜,山にいる,to be in the mountains
山,〜の山,カードの山,a pile of cards
山,〜の山,ゴミの山,a heap of garbage
山,〜の山,がれきの山,a heap of rubble
山,山を〜,山をのぼる,to climb a mountain
山,山を〜,山をこえる,"to cross a mountain, to surmount a difficulty"
山,山を〜,山をあるく,to walk in the mountains
口,口に〜,口にくわえる,to put something in one's mouth
口,口に〜,口に入る,"to enter one's mouth, to get something in one's mouth"
口,口に〜,口にする,"to mention, to eat, to drink"
口,口を〜,口をそろえる,"to protest in chorus, to speak in unison"
口,口を〜,口をあける,to open one's mouth
口,口を〜,口をひらく,to open one's mouth to speak
口,〜の口,ワニの口,crocodile's mouth
口,〜の口,バッグの口,the opening of a bag
口,〜の口,ペットボトルの口,the mouth of a plastic bottle
口,口の〜,口のまわり,around one's mouth
口,口の〜,口のケア,oral care
口,口の〜,口のトラブル,oral problems
ふじ山,ふじ山の〜,ふじ山のふもと,the foot of Mt. Fuji
ふじ山,ふじ山の〜,ふじ山のイラスト,an illustration of Mt. Fuji
ふじ山,ふじ山の〜,ふじ山のポストカード,a postcard of Mt. Fuji
ふじ山,ふじ山に〜,ふじ山について,about Mt. Fuji
ふじ山,ふじ山に〜,ふじ山にいる,to be at Mt. Fuji
ふじ山,ふじ山に〜,ふじ山にのぼる,to climb Mt. Fuji
九,九 + unit,九インチ,nine inches
九,九 + unit,九ドル,nine dollars
九,九 + unit,九セット,nine sets
九つ,九つ〜,九つ下,nine years younger
九つ,九つ〜,九つ上,nine years older
九つ,九つ〜,九つくらい,nine or so
九つ,九つの〜,九つのグループ,nine groups
九つ,九つの〜,九つの山,nine mountains
九つ,九つの〜,九つのジャンル,nine genres
一,一 + unit,一ドル,one dollar
一,一 + unit,一ページ,one page
一,一 + unit,一グラム,one gram
一つ,〜一つ,一つ一つ,one by one
一つ,〜一つ,その一つ,one of them
一つ,〜一つ,もう一つ,one more thing
人,〜の人,あそこの人,the person over there
人,〜の人,ほとんどの人,most people
人,〜の人,たくさんの人,many people
人,人が〜,人がいない,there are no people
人,人が〜,人がいる,there are people
人,人が〜,人がいい,good-natured
人,人〜,人それぞれ,each to their own
下さい,〜を下さい,メールを下さい,please email me
下さい,〜を下さい,それを下さい,please give me that one
下さい,〜を下さい,アドバイスを下さい,please give me advice
人口,人口の〜,人口の二人に一人,one out of two of the population
人口,人口の〜,人口のほとんど,most of the population
人口,人口の〜,人口の三パーセント,three percent of the population
人口,人口が〜,人口がおおい,the population is large
人口,人口が〜,人口がへる,the population decreases
人口,人口が〜,人口がふえる,the population increases
力,力が〜,力がつく,to gain strength
力,力が〜,力が入る,to be filled with strength
力,力が〜,力がある,to be strong
力,力を〜,力をつける,"to build up strength, to acquire ability"
力,力を〜,力をいれる,to put in effort
力,力を〜,力をもらう,to get strength
力,〜の力,みんなの力,everyone's power
力,〜の力,人の力,"people's strength, people's ability"
力,〜の力,一人一人の力,the power of each person
川,川の〜,川のながれ,the current of a river
川,川の〜,川のせせらぎ,the gurgling of a river
川,川の〜,川のむこう,the other side of the river
川,川に〜,川に入る,to get into a river
川,川に〜,川にいる,to be in a river
川,川に〜,川にながす,to float something on a river
川,川を〜,川をのぼる,to go upstream
川,川を〜,川をわたる,to cross a river
川,川を〜,川をくだる,to go downstream
七,七 + unit,七人,seven people
七,七 + unit,七パーセント,seven percent
七,七 + unit,七キロ,"seven kilos, seven kilometers"
七つ,七つの〜,七つのルール,seven rules
七つ,七つの〜,七つの山,seven mountains
七つ,七つの〜,七つのカテゴリー,seven categories
大きさ,〜の大きさ,ベッドの大きさ,the size of the bed
大きさ,〜の大きさ,スーツケースの大きさ,the size of the suitcase
大きさ,〜の大きさ,アメリカの大きさ,the size of the USA
十,十 + unit,十マイル,ten miles
十,十 + unit,十リットル,ten liters
十,十 + unit,十ドル,ten dollars
三,三 + unit,三チーム,three teams
三,三 + unit,三パック,three packs
三,三 + unit,三グラム,three grams
三人,三人の〜,三人のおじさん,three middle-aged men
三人,三人の〜,三人のため,"for the three people, for the three of us"
三人,三人の〜,三人のランナー,three runners
三つ,三つの〜,三つのグループ,three groups
三つ,三つの〜,三つのポイント,three points
三つ,三つの〜,三つのタイプ,three types
入る,〜に入る,プールに入る,to get into the pool
入る,〜に入る,コンビニに入る,to go into a convenience store
入る,〜に入る,うちに入る,to go inside
入る,〜が入る,ひびが入る,to crack
入る,〜が入る,人が入る,people enter
入る,〜が入る,力が入る,to be filled with strength
上げる,〜を上げる,スピードを上げる,to increase speed
上げる,〜を上げる,モチベーションを上げる,to increase motivation
上げる,〜を上げる,レベルを上げる,to raise the level
下げる,〜を下げる,ボリュームを下げる,to lower the volume
下げる,〜を下げる,コストを下げる,to lower the cost
下げる,〜を下げる,レベルを下げる,to lower the level
二,二 + unit,二パターン,two patterns
二,二 + unit,二セント,two cents
二,二 + unit,二ドル,two dollars
二人,二人の〜,二人のむすめ,"two daughters, the couple's daughter"
二人,二人の〜,二人のむすこ,"two sons, the couple's son"
二人,二人の〜,二人のため,"for the two people, for the two of us"
二人,二人〜,二人きり,"just the two of them, just the two of us"
二人,二人〜,二人いっしょ,"two of them together, two of us together"
二人,二人〜,二人づつ,two by two people
二つ,二つの〜,二つのグループ,two groups
二つ,二つの〜,二つのタイプ,two types
二つ,二つの〜,二つのパターン,two patterns
二つ,二つ〜,二つ上,two years older
二つ,二つ〜,二つとも,both things
二つ,二つ〜,二つ下,two years younger
力いっぱい,力いっぱい〜,力いっぱいハグをする,to give a big hug
力いっぱい,力いっぱい〜,力いっぱいがんばる,to do one's best
力いっぱい,力いっぱい〜,力いっぱいひっぱる,to pull with all one's strength
女,女の〜,女の人,a woman
女,女の〜,女のコスメ,women's cosmetics
女,女の〜,女の力,the power of women
女,女〜,女ともだち,female friends
女,女〜,女スパイ,a female spy
女,女〜,女どうし,between women
